Restaurant Names,Rating,Rating Count,Latitude,Longitude
Arqayadzor,4.5,12,40.198288,44.551083
Daboo Bar,5.0,32,40.189556,44.515781
Old Erivan,3.0,211,40.184277,44.514969
L'Atelier,4.5,6,40.183098,44.510418
Charentsi 28 Restaurant,4.5,179,40.179295,44.527367
Arishta,5.0,2,40.206539,44.512508
Al Mayass Yerevan,4.5,38,40.189388,44.514519
Moon Cafe & Hookah Lounge,0.0,0,40.184711,44.509232
BayRoute Pub,4.5,3,40.183674,44.506168
Lebanon Tavern,3.5,10,40.189507,44.514915
Futuretour Teahouse,5.0,4,40.179996,44.517696
CoffeeStar,5.0,3,40.186028,44.516003
Level Eleven Rooftop Restaurant,4.5,12,40.180313,44.514687
Limone Cascade,5.0,793,40.189682,44.515354
Karas,4.0,5,40.217808,44.581909
Aroma Lounge,5.0,2,40.186497,44.519131
Rehani Grillhouse,5.0,4,40.190094,44.480972
Amigo Latino Club,4.5,30,40.189632,44.524754
Venice Restaurant & Cafe,0.0,0,40.197273,44.522060
The Italian Armenia,4.0,108,40.177105,44.516212
Kebabji,4.5,10,40.184006,44.513927
Pasticceria,0.0,0,40.178246,44.519783
ELIZA Cafe & Restaurant,0.0,0,40.174187,44.521641
Gemini Cafeteria,4.5,14,40.186111,44.512024
People's Gastro Cafe,4.5,9,40.189163,44.514889
Our Village / Mer Gyugh Restaurant,4.0,203,40.183277,44.516270
Dostoevsky Club Restaurant,4.0,1,40.164307,44.417480
Mane,4.5,16,40.177101,44.515930
Vinograd,5.0,508,40.177803,44.519108
Yum Yum Donuts,4.0,10,40.186005,44.521057
3 Bros - Corner Grill,4.5,7,40.183193,44.511990
The Kond House,4.5,8,40.180439,44.502907
Hin Zangezur Tavern,4.5,450,40.178131,44.504040
Verev Rooftop,5.0,32,40.181255,44.515705
Dari Pandok,5.0,38,40.179699,44.516479
Valem Plaza Restaurant,5.0,1,40.190994,44.472141
Sector Dacha,5.0,3,40.182167,44.524780
Minour,5.0,3,40.178921,44.509232
L'Orange,4.0,15,40.182957,44.516346
Fazenda Restaurant,0.0,0,40.229565,44.597466
Karas,0.0,0,40.151894,44.496807
Casa Del Vino,5.0,4,40.174335,44.521271
Sherep Restaurant,5.0,2442,40.178471,44.511311
Los Pueblos,4.5,67,40.190197,44.515816
Talk2Me English Cafe,0.0,0,40.186378,44.513611
Rialto Italian Diner - Cafe,4.5,46,40.186726,44.521137
Black Angus Yerevan,5.0,1740,40.180176,44.514652
Muscat Cafe,4.5,15,40.180664,44.510078
Trapeza Cafe Restaurant,5.0,9,40.182873,44.512676
Veg & Co. Yerevan - Vegetarian Cafe & More,0.0,0,40.183578,44.508701
Khurjin Tavern,5.0,44,40.198708,44.368725
New Tao,4.0,4,40.187141,44.510895
Magnolia Bar & Restaurant,4.0,30,40.185513,44.514050
Mr. Gyros,3.5,6,40.183151,44.515980
Degustation,4.5,8,40.203613,44.499313
Cafe Merci,5.0,40,40.180584,44.520226
Saryan’ Notes,4.5,13,40.187065,44.509697
"Suliko, Georgian Restaurant",4.0,22,40.183147,44.522545
Aires,5.0,42,40.182262,44.511749
JAZZVE Coffee,3.5,97,40.179295,44.513813
Gusto,4.0,83,40.182964,44.517887
Wine Time,5.0,18,40.176624,44.506115
Backyard,5.0,4,40.193768,44.504482
Mihul Indian Restaurant,4.5,21,40.185162,44.525459
Shiba Saloon Bar,5.0,4,40.181587,44.512897
Hans&Franz,3.5,88,40.186790,44.508465
Adastra Restaurant & Bar,3.5,2,40.197102,44.518539
La Boca,0.0,0,40.173466,44.506256
