Name,latitude,longitude
Republica Hotel Yerevan,40.1793036,44.5092465
Hotel Meg,40.1908143,44.5174796
ibis Yerevan Center Hotel,40.1812413,44.5153781
Grand Hotel Yerevan,40.1812423,44.5162501
Nova Hotel,40.1823756,44.5195603
DoubleTree by Hilton Hotel Yerevan City Centre,40.171967,44.5083619
"Radisson Blu Hotel, Yerevan",40.1971015,44.5185381
Paris Hotel,40.1798019,44.5104853
Roma Hotel Complex,40.2102587,44.5515496
My Hotel Yerevan,40.185163,44.52529
Kantar,40.174797,44.510766
JR's House,40.1927252,44.4976115
Hyatt Place Yerevan,40.1761368,44.5128094
Armenia Marriott Hotel Yerevan,40.1783632,44.5110651
Opera Suite Hotel,40.1892471,44.5123762
Tufenkian Historic Yerevan Hotel,40.1766352,44.5162992
Mia Casa Hotel Yerevan,40.176678,44.52655
Deluxe Hotel Yerevan,40.2038889,44.5027778
Best Western Plus Congress Hotel,40.1753197,44.5086975
Azoyan Guest House,40.175997,44.514896
Holiday Inn Express Yerevan,40.1832387,44.5066841
Granada Hotel,40.2057973,44.5234332
Cascade Hotel,40.1907745,44.5140548
Hostel 5x5,40.1901604,44.4685491
Erebuni Hotel,40.1763076,44.5125093
Olympia Hotel,40.193555,44.482686
Komitas Avenue Guest House,40.207233,44.5183621
14th Floor Hotel,40.1802809,44.5107596
Daniel Boutique Hotel,40.1785478,44.5060272
Areg Hotel,40.1537395,44.5141337
City Centre Hotel by Picnic,40.180641,44.510048
Yerevan Hostel,40.1787719,44.5187909
Bass Boutique Hotel,40.1910676,44.5025969
Aviatrans,40.179932,44.515233
Apricot Hotel Yerevan,40.1795993,44.5001105
Panorama Yerevan Resort,40.175526,44.5345461
Bridge House Armenia (Yerevan),40.1793627,44.5230694
Boulevard Hotel,40.1809627,44.5101189
Central Hotel Yerevan,40.177649,44.508293
Diamond Hotel Yerevan,40.184275,44.507246
Cross Resort Hotel,40.2216838,44.459365
City Hotel by Picnic,40.1830448,44.5045448
"The Alexander, a Luxury Collection Hotel, Yerevan",40.1806785,44.5149971
Art Hotel,40.1691108,44.5234841
Domino Hostel,40.17883,44.5032454
Villa 29,40.179505,44.5084222
Hotel Regineh,40.1842446,44.5331035
Hotel National,40.1792231,44.5105425
Grig Hotel,40.192304,44.499906
Silk Road Hotel,40.1913466,44.4977227
Grand Hostel Yerevan,40.1787719,44.5187909
Welcome Yerevan  Apartments,40.1800137,44.5114013
Planet Hotel,40.2129103,44.5030823
Albert House,40.1662737,44.5138538
Nare Hotel,40.1776174,44.538164
Yerevan Boutique Hotel,40.178046,44.524796
Capital Hotel,40.1914843,44.4974969
Primer Hotel,40.2008108,44.5320087
2x2 Cinema-Bar Hotel,40.1769829,44.5218082
Elysium Gallery Hotel,40.183792,44.512805
