osm_id,name:en,latitude,longitude
2511450211,Charbakh,40.1406154,44.4708809
5332867819,David of Sasun,40.1546043,44.5071543
5332871621,Gortsaranayin,40.1410722,44.4986571
5332871623,Garegin Nzhdeh Square,40.1502947,44.482637
5332871624,Shengavit,40.1449161,44.4858505
5377634301,General Andranik,40.1715903,44.5133798
5377634303,Republic Square,40.1781892,44.51586
5377634304,Yeritasardakan,40.1872002,44.5212229
5377634306,Marshal Baghramyan,40.1916418,44.5060238
5377634307,Barekamutyun,40.1977308,44.4934281
