osm_id,name:en,latitude,longitude
"503671095",Matenadaran of Yerevan,40.1920889,44.5210237
"984598940",Cafesjian Center for the Arts,40.1914397,44.5155597
"1436858079",Museum of History of Armenia,40.1785143,44.5138609
"1437249373",State Museum of Literature and Art,40.1790204,44.5143603
"1437249612",Near East Museum,40.1788672,44.5145375
"1459239555",Museum of Armenian Railways,40.1555736,44.5082433
"1957113285",Ervand Kochar Museum,40.1884241,44.5162342
"1957113611",House Museum of Aram Khachaturyan,40.1902660,44.5133482
"1957114625",SERGEY PARAJANOV MUSEUM,40.1788968,44.5000700
"2338889793",Khachatur Abovyan,40.2174664,44.5346035
"2992156246",Yerevan History Museum,40.1743330,44.5034287
"3830927460",Museum of Charle Aznavour,40.1929644,44.5146431
"3834085121",Museum of contemporary art,40.1799481,44.5057889
"4167565590",The museum of Karen Demirchyan,40.1850502,44.5101901
"4249207200",,40.1737647,44.5013039
"4403978293",Ararat Brandy Museum,40.1767607,44.4971732
"4588678973",,40.1856372,44.4884395
"5608760220",Alexander Spendiaryan House Museum,40.1809574,44.5187661
"5616543839",,40.1914666,44.5287260
"5964207885",Nor Arvestanots,40.1801551,44.5164635
"5994789293",Book Printing Museum,40.1898056,44.5233681
"6510418739",,40.1827125,44.5093729
"6673765287",Micro Art Museum,40.1805536,44.5154288
"6769828354",,40.1894898,44.5158004
"6789852053",,40.1786082,44.5054270
"6975622185",Geological museum named after H.Karapetyan,40.1922130,44.5094453
"7142182485",Ara Sargsyan's & Hakob Kojoyan's museum,40.1860037,44.5086631
"7654751485",Lusik Aguletsi House-Museum and Art Cafe,40.1526619,44.5168415
"7700708485",Hovsep Margaryan house-museum,40.2114270,44.5019004
