Name,latitude,longitude
Arqayadzor,40.198288,44.551083
Daboo Bar,40.189556,44.515781
Old Erivan,40.184277,44.514969
L'Atelier,40.183098,44.510418
Charentsi 28 Restaurant,40.179295,44.527367
Arishta,40.206539,44.512508
Al Mayass Yerevan,40.189388,44.514519
Moon Cafe & Hookah Lounge,40.184711,44.509232
BayRoute Pub,40.183674,44.506168
Lebanon Tavern,40.189507,44.514915
Futuretour Teahouse,40.179996,44.517696
CoffeeStar,40.186028,44.516003
Level Eleven Rooftop Restaurant,40.180313,44.514687
Limone Cascade,40.189682,44.515354
Karas,40.217808,44.581909
Aroma Lounge,40.186497,44.519131
Rehani Grillhouse,40.190094,44.480972
Amigo Latino Club,40.189632,44.524754
Venice Restaurant & Cafe,40.197273,44.52206
The Italian Armenia,40.177105,44.516212
Kebabji,40.184006,44.513927
Pasticceria,40.178246,44.519783
ELIZA Cafe & Restaurant,40.174187,44.521641
Gemini Cafeteria,40.186111,44.512024
People's Gastro Cafe,40.189163,44.514889
Our Village / Mer Gyugh Restaurant,40.183277,44.51627
Dostoevsky Club Restaurant,40.164307,44.41748
Mane,40.177101,44.51593
Vinograd,40.177803,44.519108
Yum Yum Donuts,40.186005,44.521057
3 Bros - Corner Grill,40.183193,44.51199
The Kond House,40.180439,44.502907
Hin Zangezur Tavern,40.178131,44.50404
Verev Rooftop,40.181255,44.515705
Dari Pandok,40.179699,44.516479
Valem Plaza Restaurant,40.190994,44.472141
Sector Dacha,40.182167,44.52478
Minour,40.178921,44.509232
L'Orange,40.182957,44.516346
Fazenda Restaurant,40.229565,44.597466
Karas,40.151894,44.496807
Casa Del Vino,40.174335,44.521271
Sherep Restaurant,40.178471,44.511311
Los Pueblos,40.190197,44.515816
Talk2Me English Cafe,40.186378,44.513611
Rialto Italian Diner - Cafe,40.186726,44.521137
Black Angus Yerevan,40.180176,44.514652
Muscat Cafe,40.180664,44.510078
Trapeza Cafe Restaurant,40.182873,44.512676
Veg & Co. Yerevan - Vegetarian Cafe & More,40.183578,44.508701
Khurjin Tavern,40.198708,44.368725
New Tao,40.187141,44.510895
Magnolia Bar & Restaurant,40.185513,44.51405
Mr. Gyros,40.183151,44.51598
Degustation,40.203613,44.499313
Cafe Merci,40.180584,44.520226
Saryan’ Notes,40.187065,44.509697
"Suliko, Georgian Restaurant",40.183147,44.522545
Aires,40.182262,44.511749
JAZZVE Coffee,40.179295,44.513813
Gusto,40.182964,44.517887
Wine Time,40.176624,44.506115
Backyard,40.193768,44.504482
