osm_id,name:en,latitude,longitude
"256038625",,40.1927544,44.4993444
"308881329",,40.1811032,44.5236655
"331477941",,40.1861929,44.5372249
"331477943",,40.1854063,44.5426659
"331479190",,40.1951718,44.5671735
"369670355",Yerevan,40.1553328,44.5078970
"387278324",,40.2053144,44.4773683
"387278337",,40.2135848,44.4742808
"388093210",,40.1719077,44.4918044
"597698354",,40.1747593,44.4523994
"597698622",,40.1740135,44.4571944
"726602908",,40.1933153,44.5342170
"974885851",,40.1901068,44.5558639
"974885932",,40.1910736,44.5498313
"1342409373",,40.1877380,44.5245061
"1342591375",,40.2158512,44.4687603
"1342591633",,40.2150393,44.4708523
"1990231957",,40.1679927,44.4562519
"2000611161",,40.1899081,44.5210228
"2049837459",,40.1273366,44.5300281
"2194582019",,40.1952866,44.5378270
"2327176022",,40.1941443,44.5693977
"2524485791",#10 trolleybus: last stop,40.1980946,44.4933213
"3514066425",,40.1815025,44.4420066
"3836963479",,40.1747643,44.5198229
"3839552863",,40.1746741,44.5199168
"4057423776",,40.2042010,44.5505121
"4254198619",,40.2336640,44.4504851
"4369457314",,40.1735470,44.5165854
"4685815993",,40.1791141,44.4932167
"5165034066",,40.1962257,44.4940732
"5165711721",,40.1920470,44.5051513
"5165711722",,40.1921724,44.5051544
"5165753840",,40.1928379,44.4994455
"5166225044",,40.1959159,44.4942903
"5166277917",,40.1911721,44.5113769
"5166277918",,40.1911463,44.5111299
"5166876726",,40.2008398,44.5006489
"5172553846",,40.2018035,44.4960374
"5172553847",,40.2016152,44.4959426
"5172553848",,40.1997156,44.4939235
"5172553849","""Barekamutsyun""",40.1982922,44.4940965
"5172556100",,40.2029225,44.4991270
"5172556101",,40.2026992,44.4982099
"5172557455",,40.2044499,44.5029008
"5172557456",,40.2040819,44.5016017
"5172561404",,40.2056686,44.5059288
"5172561405",,40.2056032,44.5053827
"5172572398",,40.2068694,44.5108286
"5172572399",,40.2070309,44.5102313
"5172581082",,40.2068581,44.5134522
"5172581084",,40.2066268,44.5151119
"5172582808",,40.2065318,44.5193754
"5172582809",,40.2064169,44.5189136
"5172609105",,40.2063038,44.5233366
"5172609106",,40.2062035,44.5227696
"5172632143",,40.2038491,44.5293103
"5172632144",,40.2036224,44.5294163
"5172644021",,40.2017980,44.5330198
"5172644023",,40.2016881,44.5328801
"5172647262",,40.1993236,44.5374770
"5172647263",,40.1994090,44.5370104
"5174465011",,40.1869430,44.5639318
"5174465013",,40.1868569,44.5640954
"5174465015",,40.1826253,44.5673629
"5174465016",,40.1825947,44.5675947
"5174465017",,40.1830678,44.5713995
"5174465019",,40.1832096,44.5714320
"5174465421",,40.1822485,44.5702138
"5174465422",,40.1821911,44.5706696
"5174465423",,40.1910562,44.5674468
"5174465424",,40.1909854,44.5676702
"5174465425",,40.1940652,44.5691765
"5174465426",,40.1968085,44.5683842
"5174465428",,40.1979721,44.5675608
"5174465429",,40.1999420,44.5667535
"5174465430",,40.2004572,44.5662680
"5174465431",,40.2021104,44.5653883
"5174465432",,40.2033724,44.5649215
"5174465434",,40.2086135,44.5617289
"5174465435",,40.2059392,44.5635563
"5174465436",,40.2059002,44.5634168
"5174465437",,40.2040194,44.5504905
"5174465438",,40.2027480,44.5467157
"5174465439",,40.2022740,44.5459336
"5174465440",,40.2005366,44.5415781
"5174465442",,40.2002297,44.5412566
"5215879025",Yerevan,40.1544705,44.5079103
"5754586539",,40.1891324,44.5309259
"6417590699",,40.2196830,44.5689882
"6417590703",,40.2198755,44.5673285
"6417590706",,40.2202900,44.5742538
"6417590708",,40.2204064,44.5760417
"6417590709",,40.2198846,44.5725625
"6417590712",,40.2206642,44.5816054
"6417590714",,40.2180642,44.5824422
"6417590716",,40.2157329,44.5793396
"6417767557",,40.2093786,44.5606825
"6417767559",,40.2136264,44.5624787
"6417767561",,40.2186129,44.5616734
"6417826713",,40.1959477,44.5472655
"6417826716",,40.2032414,44.5558312
"6418005367",,40.1840801,44.5239953
"6418005370",,40.1884394,44.5245334
"6418005372",,40.1898555,44.5259568
"6418005374",,40.1910394,44.5275751
"6418005376",,40.1911240,44.5274104
"6418184655",,40.1780261,44.5227550
"6418223158",,40.1736315,44.5164628
"6418229108",,40.1724416,44.5135977
"6418229109",,40.1716283,44.5137195
"6418974834",,40.1678565,44.5132465
"6418974835",,40.1678489,44.5134254
"6419012635",,40.1656342,44.5132094
"6419012637",,40.1648716,44.5129741
"6419012640",,40.1635448,44.5130154
"6419029638",,40.1597971,44.5117698
"6419029639",,40.1596716,44.5119029
"6419072800",,40.1558344,44.5105206
"6419072802",,40.1544689,44.5101550
"6419091985",,40.1509079,44.5102377
"6419091987",,40.1500735,44.5100235
"6419105580",,40.1477658,44.5099778
"6419105582",,40.1472567,44.5101521
"6419105584",,40.1439436,44.5104905
"6419105585",,40.1436389,44.5107565
"6419118752",,40.1425635,44.5115459
"6419118753",,40.1424024,44.5115920
"6419118754",,40.1421448,44.5163416
"6419118755",,40.1423053,44.5164509
"6419136889",,40.1419881,44.5223755
"6419136890",,40.1418495,44.5215919
"6419144551",,40.1416480,44.5252638
"6419144552",,40.1417847,44.5263391
"6419153258",,40.1416437,44.5288825
"6419153278",,40.1414623,44.5285657
"6419162836",,40.1412622,44.5330542
"6419248543",,40.1403120,44.5333110
"6419276922",,40.1370741,44.5319989
"6419276923",,40.1368075,44.5317804
"6419300066",,40.1344038,44.5271977
"6419322986",,40.1327205,44.5244112
"6419322989",,40.1304344,44.5244445
"6419322990",,40.1285965,44.5249997
"6419344503",,40.1274004,44.5279803
"6431481668",,40.1737842,44.5688933
"6431481670",,40.1733489,44.5654434
"6431481671",,40.1733406,44.5650628
"6431481672",,40.1732846,44.5627449
"6431481673",,40.1703946,44.5598670
"6431493778",,40.1751722,44.5664609
"6431528958",,40.1767377,44.5600208
"6432277180",,40.1798759,44.5611202
"6432277181",,40.1801884,44.5614410
"6432865523",,40.1881193,44.5172720
"6432865524",,40.1878789,44.5182227
"6432881623",,40.1877508,44.5157276
"6432881624",,40.1877518,44.5159568
"6432881625",,40.1850142,44.5124911
"6432881627",,40.1848211,44.5124437
"6432905729",,40.1816648,44.5084774
"6432905730",,40.1811495,44.5080684
"6432911594",,40.1789777,44.5052939
"6432911595",,40.1785304,44.5049746
"6434238645",,40.1751571,44.5053009
"6434238647",,40.1767858,44.5037263
"6434238650",,40.1740931,44.5035428
"6434284553",,40.1805700,44.4885606
"6434284554",,40.1806392,44.4881919
"6434312962",,40.1901012,44.4751828
"6434312963",,40.1898119,44.4756794
"6434312993",,40.1913806,44.4730547
"6434312995",,40.1914829,44.4728511
"6434396551",,40.1912232,44.4691960
"6434396557",,40.1908222,44.4654226
"6434406471",,40.1909162,44.4651728
"6434423428",,40.1894687,44.4619134
"6434423429",,40.1893043,44.4620499
"6434441170",,40.1859396,44.4616979
"6434441172",,40.1855472,44.4613934
"6434455275",,40.1828207,44.4606688
"6434455277",,40.1825190,44.4603796
"6434466314",,40.1788601,44.4591454
"6434466316",,40.1781210,44.4590909
"6434476303",,40.1760821,44.4582207
"6434476306",,40.1746427,44.4579389
"6434511034",,40.1746154,44.4523716
"6434511039",,40.1744357,44.4499586
"6435406879",,40.1743214,44.4469760
"6435456970",,40.1740359,44.4463785
"6435456980",,40.1724211,44.4459523
"6435496168",,40.1710018,44.4460523
"6435498692",,40.1703111,44.4460996
"6435532373",,40.1655471,44.4413367
