osm_id,name:en,latitude,longitude
"356764124",,40.1715376,44.5188764
"370085096",Yerevan City,40.1744794,44.5136171
"374209070",,40.1859290,44.5122393
"701603375",,40.2048205,44.5015381
"711016759",Parma,40.1836928,44.5192040
"1052718143","""Yerevan City""",40.2059628,44.5209183
"1052718184",,40.2065010,44.5139333
"1198493784",,40.1714271,44.5180627
"1325441120",,40.1787144,44.5204067
"1337103180",,40.1634704,44.5165323
"1393432889",AGORA,40.1819819,44.5708907
"1393433079","""Arev"" Supermarket",40.1823501,44.5681113
"1431927783","""Evrika""",40.1454758,44.4634370
"1454000442",Yerevan City,40.1416600,44.5211273
"1468990553","""EVRIKA""",40.2166783,44.5808933
"1531980127",Parma,40.1830135,44.5150153
"1531980140",,40.1863927,44.5078707
"1535256015",,40.1551149,44.4786718
"1536163031",,40.1567255,44.4851032
"1907391367","""AR-BE"" Armenian-Belarus Trading House",40.1400240,44.4675384
"2239582547",,40.2045916,44.5655782
"2273223985",,40.1432420,44.4363982
"2278925734",,40.1806445,44.5078234
"2279292548",,40.1781122,44.5073194
"2290042770",,40.1863438,44.5309175
"2405935619",Lalvar,40.1912752,44.5661324
"2405936043",,40.1910020,44.5679309
"2607445322",,40.2050092,44.5725084
"2878642531",,40.1489170,44.4909211
"2887901546",,40.2236600,44.5722600
"2917475145",SAS,40.1964880,44.4934330
"2918325053","""E.M."" Market",40.1783117,44.4925439
"3036488829",Nor Zovq,40.2021204,44.4907159
"3122582336","""Europe""",40.2020752,44.4899261
"3320263820",Nor Zovq,40.1877202,44.5238909
"3320263823",Evrika,40.1881434,44.5236745
"3406862482",,40.1891707,44.5074380
"3413175053",,40.2077711,44.5276159
"3501453077","""Mush""",40.1781235,44.5198084
"3501474435","""Mush""",40.1861134,44.5191352
"3508699928",,40.2075090,44.5642112
"3529400697",,40.1557127,44.4989191
"3575334499",,40.1864436,44.5224111
"3704279449",,40.1997607,44.5603735
"3704279450",,40.1972186,44.5589796
"3721912745",,40.2006152,44.5004892
"3735729770",,40.1488899,44.5162542
"3820664391","""Krpak""",40.1811015,44.5195945
"3895656109",,40.1824703,44.5710679
"3905571301",,40.1630437,44.4432604
"4078732315",,40.1518835,44.4835568
"4091247960",Yerevan City,40.2066723,44.5109149
"4091336395",Karusel,40.2095192,44.5067548
"4091336397","""Rostov""",40.2098325,44.5114948
"4101157198",Tsiatsan,40.1921587,44.5731170
"4101939020",Mush,40.2002032,44.5704497
"4102257789",Parma,40.1958489,44.4941091
"4109066963","""Musaler"" Supermarket",40.2021187,44.4761646
"4109066982",,40.1826449,44.5682696
"4110068791",,40.2093554,44.4617846
"4110483125",Nor Zovq,40.1959827,44.4987905
"4120726089","""Arev""",40.1455339,44.4628130
"4126107053",,40.1801245,44.4459075
"4141807527","""Elak""",40.1844462,44.5099434
"4162583198",Aygedzor market,40.1909608,44.5040064
"4164999100",Baghramyan 21,40.1919062,44.5049945
"4169283389","""Luys""",40.2233512,44.5449915
"4202062989",,40.2016878,44.5218125
"4211926161",,40.1967704,44.5677462
"4220355126",,40.2025305,44.5450567
"4230221095",,40.2080823,44.5080037
"4237753812","""Carousel""",40.2088643,44.5229099
"4260153390","""Yerevan City""",40.1727055,44.4575045
"4269341289",,40.2174767,44.5526775
"4274264691",,40.2058836,44.5688438
"4279009995",,40.1776770,44.4486174
"4283586915",,40.1480144,44.4877933
"4284037993","""Khale""",40.1487086,44.4975089
"4284096591",,40.1486241,44.4975013
"4300643189",Astghik,40.1797437,44.4418431
"4315546899",,40.1512043,44.4848262
"4315631389",,40.1517217,44.4837592
"4316119789",,40.2218836,44.4947206
"4336609390",,40.1689260,44.5198070
"4337445689",,40.1673437,44.5210118
"4337481796",,40.1706560,44.5196658
"4337485090",,40.1705562,44.5172533
"4349544914",,40.1729128,44.4456584
"4350711634","""Urartu""",40.1731456,44.4576822
"4365481689",,40.1687693,44.5169242
"4375730391",,40.1787428,44.4507464
"4379626366",,40.2180764,44.5637353
"4381012176",Tsiran Supermarket,40.1714347,44.4564884
"4393785389",Food,40.2077147,44.5432688
"4402371299",Yerevan City,40.2040413,44.4620918
"4421622889",,40.2065970,44.4623064
"4443453490",HD Supermarket,40.1435942,44.5104361
"4444217489","""Lime""",40.1483412,44.5099130
"4449633400",,40.1785289,44.4409286
"4456735896",Vxo & Rita,40.1653258,44.5118521
"4499946995","""Urartu""",40.1787468,44.5090927
"4499946996",Urartu,40.1778929,44.5185122
"4499947994","""Urartu""",40.1986797,44.4968774
"4499950695","""Urartu""",40.2237615,44.5724058
"4500815989",Market,40.1896213,44.5584684
"4509280624",Urartu,40.1730197,44.5653376
"4510770990",Yerevan City,40.1784326,44.5042227
"4514248889",,40.2073009,44.5395250
"4517775190",,40.1720766,44.5640010
"4526168903",Max Market,40.1446531,44.4841572
"4526170311",MiniMarket,40.1481450,44.4953989
"4526171004","""Shoko""",40.1465647,44.4970141
"4526199590",Amikus,40.1489066,44.4807000
"4526211290","""Inessa""",40.1388380,44.4834973
"4526296891","""City express""",40.1516320,44.4898453
"4526415894",,40.1525094,44.4830236
"4527996307",Supermarket HD,40.1290195,44.5263766
"4527996314",Lu el,40.1435661,44.5333239
"4528104904",Markiz,40.1286700,44.5251318
"4528114895","""Randevu""",40.1512510,44.5098844
"4528114992",Jin,40.1418946,44.5260063
"4528144593",,40.1494818,44.5162748
"4528145889","""Markiz""",40.1333521,44.5225569
"4542260393","""Tsiran""",40.1976195,44.4935589
"4542387389",,40.1936761,44.5624683
"4554158331","""Musaler""",40.1973166,44.4789148
"4558112079",Nor Zovq,40.2188810,44.5500745
"4573749792",Liaton,40.1730716,44.5681947
"4575798190",,40.1719415,44.5638261
"4576144190","""Ermiel"" Supermarket",40.1523361,44.4936672
"4590740290",VAS,40.1783713,44.5066247
"4608278705",Evrika Supermarket,40.1777357,44.5246185
"4614735864",Shirak,40.1986097,44.4978140
"4639428490",Yerevan City (Spari),40.1760700,44.4386221
"4640147980","""Tsiran""",40.1946488,44.4735327
"4647299690",,40.1544416,44.5206981
"4675324242",,40.1953045,44.5635558
"4678910892",,40.1946809,44.4873565
"4678935912",SAS,40.1927914,44.4840500
"4684986089","""Punj""",40.2069340,44.5636266
"4686460790",Supra,40.2168157,44.4876608
"4698584525","""Bio""",40.1984968,44.4747753
"4728762633",,40.2253687,44.5475752
"4753304739",,40.1808694,44.5193153
"4793483527",,40.2177659,44.5815517
"4793483529",,40.2175768,44.5813433
"4811002022",,40.2028090,44.5228392
"4889020724","""Tsiran""",40.2078662,44.4685512
"4889020725","""Krpak""",40.2087133,44.4686489
"4891523822",,40.2122775,44.4622618
"4908785090",Nor Zovq,40.1503615,44.5268966
"4918155024",Yerevan City,40.2014652,44.4942979
"4918155323",,40.1999700,44.4924288
"4938139221",Natali budka,40.1496646,44.4963832
"4953479230",,40.1662461,44.4423203
"5024417423","""Arminashogh""",40.1934067,44.4719477
"5058037223",Nor Zovq,40.1614955,44.4432137
"5075536942",,40.1864332,44.5346620
"5077129431",Mix market,40.2327387,44.5542900
"5128856921",,40.1961321,44.5059267
"5131055064",,40.1978000,44.4760875
"5167750422",Nor Zovq,40.2095778,44.4690408
"5200073378",,40.2063047,44.5715189
"5259613221",Saqo's Grocery,40.2022451,44.5035150
"5261597723",Nor Zovq,40.1708584,44.5652861
"5262571721",Nor Zovq,40.1709194,44.5650638
"5336225821",Tatul,40.1478408,44.4576188
"5340702923",Market,40.2203039,44.5808610
"5353026923",,40.1977691,44.5600682
"5405019325",Yerevan City,40.2007823,44.5051474
"5447131022",Athenk Meat Shop,40.2163702,44.5515097
"5482697681",,40.1942966,44.5699212
"5499693949","""Krpak""",40.1752904,44.5662308
"5566994203","""Evrika""",40.1759384,44.4448514
"5678023457",,40.1792023,44.4881168
"5683974721",Titan supemarket,40.1514951,44.4880885
"5714336893",,40.2004031,44.4962006
"5791311353",MG,40.1411932,44.5287374
"5812945453",Green Day (organic food),40.1955448,44.5145527
"5826453154",Bonus Supermarket,40.1786688,44.5643422
"5908346298",Sayat-Nova supermarket,40.1772091,44.5266461
"6018223885",,40.1663712,44.5134428
"6027255170",,40.1710393,44.4913019
"6035871304",,40.1916390,44.4628902
